Id;Nom;Orientation;Alpi;Ski;Deniv.plus;Depart.id;Depart.altitude;Sommet.id;Sommet.nom;Sommet.longitude;Sommet.latitude;Sommet.altitude;M01;M02;M03;M04;M05;M06;M07;M08;M09;M10;M11;M12;S1999-2000;S2000-2001;S2001-2002;S2002-2003;S2003-2004;S2004-2005;S2005-2006;S2006-2007;S2007-2008;S2008-2009;S2009-2010;S2010-2011;S2011-2012;S2012-2013;S2013-2014;S2014-2015;S2015-2016;S2016-2017;S2017-2018;S2018-2019;S2019-2020;S2020-2021
188;pointe-du-vallonnet;W;PD;4.1;1900;49;1490;396;Pointe du Vallonnet;6,761;45,4172;3372;0;5;9;15;15;1;1;0;0;0;0;3;0;0;0;1;0;0;1;4;2;2;5;1;7;5;5;4;3;1;5;2;0;1
299;rateau-d-aussois;E;F;2.3;1600;46;1530;397;Râteau d'Aussois;6,6935;45,2469;3131;4;3;5;13;4;2;0;0;0;0;0;3;0;0;0;0;1;1;0;2;2;2;2;3;1;2;1;2;2;7;2;3;1;0
300;pointe-de-bellecote;T;R;2.2;1610;46;1530;398;Pointe de Bellecôte;6,7513;45,274;3139;4;12;7;5;0;0;0;0;0;0;1;9;0;0;0;0;1;0;0;3;1;5;2;3;5;1;3;2;3;4;3;0;0;2
376;mont-brequin;T;F;3.3;2035;783;1325;393;Mont Brequin;6,5337;45,2519;3130;21;30;26;34;8;0;0;0;0;0;6;15;0;0;0;0;1;2;0;9;12;6;13;8;6;10;7;6;6;12;18;12;7;5
443;pointe-barbara;S;F;2.3;1743;51;1425;395;Pointe Barbara;6,8756;45,3225;3168;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
496;tete-noire;E;R;2.2;1470;59;1209;390;Tête Noire;6,66;45,2438;2673;6;9;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;4;2;5;1;2;1;2;0;1;1;3;0;0;0
529;dome-de-l-arpont;N;PD+;3.1;1300;56;1343;385;Dôme de l'Arpont;6,7431;45,3186;3599;0;0;0;4;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0
589;grand-roc-noir;SE;PD;4.1;1900;57;1690;457;Grand Roc noir;6,8919;45,3303;3580;0;4;4;5;6;2;0;0;0;0;0;2;0;0;0;0;0;1;1;0;1;3;0;2;0;1;2;1;3;1;2;2;3;0
623;col-de-la-gliere;S;F;3.1;1518;54;1644;480;Col de la Glière;6,7936;45,4109;3162;9;11;15;26;9;1;0;0;0;0;0;5;0;0;0;0;0;2;2;5;4;5;6;2;4;4;12;7;3;7;4;4;3;2
722;col-du-ravin-noir;T;F;3.1;1730;59;1209;555;Col du Ravin Noir;6,6814;45,2546;2941;0;2;0;4;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;0;1;1;0;0;0;0;0;0;1;1;0
